,day,research,arabic,book,teaching,service,other,freethink,total,time,activities,Sleep,Exercise,
3/12/2014,W,4.2,0.55,,,1.5,5,1.15,12.4,12:20:00,"decap, ssp lunch, xxxx emails",,swim,
3/13/2014,Th,5.75,0.75,,,1,2.5,1.25,11.25,10:23:00,"decap, pv breakfast, math carnival ",,swim,
3/14/2014,F,2.6,1.05,,,1.75,1.1,1.75,8.25,11:10:00,"decap, lunch w xxxx, museum of science ",,,
3/15/2014,S,8.4,,,,,,,8.4,8:30:00,decap,,rock climb,
TOTAL ,,42,6.3,0,0,4.25,11.95,4.4,68.9,,,,,
,,1.2,0.9,0,0,0.72,1.2,1.47,1.13,,,,,
,,,,,,,,,,,,,,
GOALS,,35,7,0,0.1,5.9,10,3,61,,,,,
3/2/2014,S,5.25,,,,,0.25,,5.5,10:30:00,decap,,,
3/3/2014,M,5.5,1.3,,,1.75,5.1,0.25,13.9,3:47:00,"xxxx, adcom, VeF, decap",no,swim,
3/4/2014,T,6.25,1.4,,,1,2.85,0.5,12,3:45:00,"sermons, decap, quant2 talk,",no,swim,
3/5/2014,W,3.25,0.5,,,0.5,4.85,,9.1,11,"met xxxx, ssp, decap",,swim,
3/6/2014,Th,1.25,1.25,,,1,6.35,,9.85,8:15:00,,,swim,
3/7/2014,F,4.9,1.25,,,,1.35,1.25,8.75,10:40:00,decap,,swim,
3/8/2014,S,4.25,0.15,,,,,,4.4,3:35:00,decap,,,
TOTAL ,,30.65,5.85,0,0,4.25,20.75,2,63.5,,,,,
,,0.88,0.84,0,0,0.72,2.08,0.67,1.04,,,,,
,,,,,,,,,,,,,,
GOALS,,40,7,0,0,5,7,3,62,,,,,
2/23/2014,S,2.25,,0.25,,0.1,0.5,,3.1,10:00:00,VeF,,,
2/24/2014,M,8,1.5,,,1.5,1.1,0.25,12.35,11:30:00,"VeF, adcom, sermons",,swim,
2/25/2014,T,2.3,1.45,,1.75,,4.8,0.65,10.95,10:45:00,"VeF, teaching, lunch with xxxx",,swim,
2/26/2014,W,,1.2,,,9.25,3.7,,14.15,12:15:00,"LoR , text workshop",,no,
2/27/2014,Th,1,2.8,,,4.75,1.6,0.75,10.9,10:40:00,"text workship, meet xxxx",,swim,
2/28/2014,F,2,4.05,,,4,0.55,0.15,10.75,9:43:00,"theme floors, text workshop",,swim,
3/1/2014,S,3.35,2.2,,,,1.25,,6.8,10:08:00,"LoR, decap, VeF",,,
TOTAL ,,18.9,13.2,0.25,1.75,19.6,13.5,1.8,69,,,,,
,,0.47,1.89,0,#DIV/0!,3.92,1.93,0.6,1.11,,,,,
,,,,,,,,,,,,,,
GOALS,,40,7,0,0,5,7,3,62,,,,,
2/16/2014,S,6.25,,,,,,,6.25,11:00:00,"VeF, muslim int.",,,
2/17/2014,M,5.1,0.4,,,,0.15,,5.65,11:50:00,"VeF, muslim int., lego movie",yes,,
2/18/2014,T,4.75,0.8,,,3.25,3.35,1,13.15,11:10:00,"ILM,adcom, xxxx talk",yes,swim,
2/19/2014,W,2.35,1.1,,,3.4,2.25,0.25,9.35,8:45:00,"ILM, VeF, adcom, xxxx talk, xxxx call",yes,swim,
2/20/2014,Th,7.3,1.15,,0.25,3.35,1.75,0.75,14.55,3:50:00,"ILM, adcom, sermons",3.50am,swim,
2/21/2014,F,2,0.8,,,1.75,2.55,0.7,7.8,8:05:00,"sermons, ILM",11.30pm,swim,
2/22/2014,S,2.1,1.5,,,,0.75,0.25,4.6,10:00:00,finished book of mormon,,,
TOTAL ,,29.85,5.75,0,0.25,11.75,10.8,2.95,61.35,,,,,
,,0.75,0.82,0,#DIV/0!,2.35,1.54,0.98,0.99,,,,,
,,,,,,,,,,,,,,
GOALS,,15,10,0,15,15,7,1,63,,,,,
2/9/2014,S,,,,,6.35,,,6.35,11:00:00,adcom ,,,
2/10/2014,M,2.5,1.25,,0.75,4.7,3.95,,13.15,12:00:00,adcom,late,swim,
2/11/2014,T,1.4,1.35,,,3.25,4.85,0.15,11,11:55:00,"adcom, coffee with xxxx, xxxx talk",,swim,
2/12/2014,W,6.1,0.75,,,,4.25,1.5,12.6,2:20:00,"xxxx talk, paper planning, paper brainstorming",late,swim,
2/13/2014,Th,4,0.3,,,2.25,2,0.5,9.05,11:35:00,"adcom, menoret talk, xxxx work",,swim,
2/14/2014,F,3,0.25,,,,1.25,,4.5,12:30:00,"meeting with xxxx, xxxx talk",,surf,
2/15/2014,S,6,,,,,1.5,,7.5,11:30:00,"rewards, VeF",,,
TOTAL ,,23,3.9,0,0.75,16.55,17.8,2.15,64.15,,,,,
,,1.53,0.39,0,0.05,1.1,2.54,2.15,1.02,,,,,
,,,,,,,,,,,,,,
GOALS,,15,5,0,22,15,7,1,65,,,,,
2/2/2014,S,,2.1,,,,0.25,,2.35,5:30:00,bom ,,,
2/3/2014,M,3,2,,,1.25,4.25,,10.5,11:00:00,paper for xxxx,,swim,
2/4/2014,T,,4.05,,,0.8,1.8,1.85,8.5,4:50:00,"fund. mormonism, bom, adcom",,swim,
2/5/2014,W,,6.6,,,,1.3,0.15,8.05,12:00:00,"bom, arabic downloads",,swim,
2/6/2014,Th,0.75,1.4,,0.25,6.55,2.35,0.25,11.55,11:00:00,"adcom, comp teaching meeting",,swim,
2/7/2014,F,0.5,2.2,,,3.95,3.5,0.25,10.4,9:00:00,"adcom, seminars",,,
2/8/2014,S,,,,,4.55,,,4.55,11:20:00,adcom,,,
TOTAL ,,4.25,18.35,0,0.25,17.1,13.45,2.5,55.9,,,,,
,,0.28,3.67,0,0.01,1.14,1.92,2.5,0.86,,,,,
,,,,,,,,,,,,,,
GOALS,,30,5,0,10,1,8,3,57,,,,,
1/26/2014,S,3.85,,,,,,,3.85,11:15:00,case selection,,,
1/27/2014,M,16.45,,,,,0.25,,16.7,4:15:00,case selection,,,
1/28/2014,T,8.55,,,,,3,1.25,12.8,10:30:00,case selection,,,
1/29/2014,W,11.55,0.4,,,,1.2,0.5,13.65,2:30:00,"demaid chat, case selection, meeting with chair",,,
1/30/2014,Th,8.7,0.25,,,,1.65,,10.6,9:00:00,"case selection, urop interview",,,
1/31/2014,F,0.25,2.1,,,,6.5,,8.85,8:00:00,"the square, random emails",,,
2/1/2014,S,,0.8,,,,1.5,,2.3,5:30:00,,,,
TOTAL ,,49.35,3.55,0,0,0,14.1,1.75,68.75,,,,,
,,1.65,0.71,0,0,0,1.76,0.58,1.21,,,,,
,,,,,,,,,,,,,,
GOALS,,30,5,0,10,1,8,3,57,,,,,
1/19/2014,S,3.5,0.25,,,,,,3.75,8:50:00,rewards,,,
1/20/2014,M,6,,,,,,,6,10:50:00,"rewards, frontier",,,
1/21/2014,T,3.95,0.25,,3,1,4,0.5,12.7,10:30:00,"emails, ME syllabus, adcom, decap",,,
1/22/2014,W,7,0.4,,,1.25,1.35,1.5,11.5,11:25:00,"library, adcom, SMR, ethics",,,
1/23/2014,Th,11.1,0.65,,,1.75,2.35,0.25,16.1,5:15:00,"case selection, advisement, COUHES, fatwaclicks",,,
1/24/2014,F,4.85,,,,,0.5,,5.35,10:30:00,"fatwaclicks, case selection",,,
1/25/2014,S,5.5,,,,,,,5.5,10:50:00,case selection ,,,
TOTAL ,,41.9,1.55,0,3,4,8.2,2.25,60.9,,,,,
,,1.4,0.31,0,0.3,4,1.03,0.75,1.07,,,,,
,,,,,,,,,,,,,,
GOALS,,25,20,0,10,1,8,3,67,,,,,
1/12/2014,S,6.35,,,,,,,6.35,2:20:00,"frontier, rewards",,,
1/13/2014,M,10.85,,,,,,,10.85,2:50:00,"github, frontier weights, frontier, googling clerics",,,
1/14/2014,T,9.5,,,,,1.75,0.25,11.5,10:30:00,"NSF for xxxx, VeF lit, frontier",,,
1/15/2014,W,1,,,6.6,0.25,1.65,,9.5,10:05:00,ME syllabus,,,
1/16/2014,Th,2.5,0.5,,2,3.7,3.15,0.5,12.35,11:20:00,"ME syllabus, rewards, adcom",,80,
1/17/2014,F,7.55,0.3,,,0.75,,0.7,9.3,2:00:00,rewards,,40,20
1/18/2014,S,5.8,,,,,,,5.8,1:00:00,rewards,,,
TOTAL ,,43.55,0.8,0,8.6,4.7,6.55,1.45,65.65,,,,,
,,1.74,0.04,0,0.86,4.7,0.82,0.48,0.98,,,,,
,,,,,,,,,,,,,,
GOALS,,25,20,0,10,1,8,3,67,,,,,
1/5/2014,S,0.15,3,,,,,,3.15,10:05:00,,,,
1/6/2014,M,1.55,2.25,,3.6,1.7,3.15,0.25,12.5,11:50:00,"ME syllabus, reviews",,80,
1/7/2014,T,2.15,0.55,,,7,2.8,0.5,13,11:15:00,"reviews, grades meeting, reading PS, ",,40,
1/8/2014,W,5.45,0.45,,1.25,,2.75,0.25,10.15,10:50:00,"computer setup, leblang, reading ME",,40,
1/9/2014,Th,8.5,0.6,,0.25,,1,0.5,10.85,10:30:00,"Frontier, rewards replication",,,
1/10/2014,F,11.2,0.5,,2,,5.3,,19,7:00:00,"lunch with stefanie rickard, rewards replication",,,
1/11/2014,S,0.8,,,,,0.5,,1.3,11:20:00,rewards replication,,,
TOTAL ,,29.8,7.35,0,7.1,8.7,15.5,1.5,69.95,,,,,
,,1.19,0.37,0,0.71,8.7,1.94,0.5,1.04,,,,,
,,,,,,,,,,,,,,
,,15,7,5,10,8,8,3,56,,,,,
12/29/2013,S,0.15,0.25,,,3.25,1.25,,4.9,2:15:00,"emails, adcom",,,
12/30/2013,M,,,,,7.5,,,7.5,1:30:00,adcom,,,
12/31/2013,T,4.9,,,,0.5,0.6,,6,5:35:00,frontier,,,
1/1/2014,W,1.15,4.75,,,,0.75,,6.65,10:15:00,"arabic bom, frontier",,,
1/2/2014,Th,2.35,4.75,,,,2.95,,10.05,12:40:00,"arabic bom, frontier, POMEPS",,,
1/3/2014,F,15.5,,,,,,,15.5,3:55:00,"POMEPS, frontier",,,
1/4/2014,S,1.95,3.95,,,,0.1,,6,11:30:00,arabic,,,
TOTAL ,,26,13.7,0,0,11.25,5.65,0,56.6,,,,,
,,1.73,1.96,0,0,1.41,0.71,0,1.01,,,,,
,,,,,,,,,,,,,,
12/22/2013,S,3.6,,,,,,,3.6,11:00:00,comptxt,,20,
12/23/2013,M,10.25,,,,1,0.25,,11.5,12:30:00,"paper ideas, adcom, comptxt, frontier",,,
12/24/2013,T,0.75,,,,,1,,1.75,4:40:00,papers,,,
12/25/2013,W,0.5,,,,,,,0.5,11:00:00,frontier,,,
12/26/2013,Th,7.25,0.4,,,,2,0.5,10.15,11:45:00,"frontier, lunch w xxxx",,,
12/27/2013,F,5.3,0.25,,,1,1.4,0.25,8.2,9:20:00,"advice for xxxx, emails, satt frontier, adcom",,20,
12/28/2013,S,0.25,,,,3.15,,,3.4,12:35:00,adcom,,,
TOTAL ,,27.9,0.65,0,0,5.15,4.65,0.75,39.1,,,,,
,,1.86,0.09,0,0,0.64,0.58,0.25,0.7,,,,,
,,,,,,,,,,,,,,
12/15/2013,S,2.25,,,,,0.5,,2.75,11:20:00,comptxt,,,
12/16/2013,M,6.35,0.6,,0.5,,2.3,0.5,10.25,10:50:00,"final, comptxt, lunch with xxxx",,40,
12/17/2013,T,5.75,0.15,,0.75,,5.25,,11.9,12:20:00,"gallup, xxxx meeting, how to get tenure book",,10,
12/18/2013,W,5,0.8,,1.35,,4.6,0.5,12.25,12:25:00,"comptxt, lunch xxxx, grading",,60,
12/19/2013,Th,6.25,0.5,,,3.6,6.5,1,17.85,7:15:00,"frontier meeting, xxxx advice,  couhes,  adcom",no,,
12/20/2013,F,1,0.2,,,1,4,,6.2,12:00:00,"mit party, reprints",,,
12/21/2013,S,3.25,0.2,,,,3.35,,6.8,2:50:00,"emails, goals,  tenure, comptxt",not much,20,
TOTAL ,,29.85,2.45,0,2.6,4.6,26.5,2,68,,,,,
,,1.99,0.35,0,0.26,0.58,3.31,0.67,1.21,,,,,
,,,,,,,,,,,,,,
12/8/2013,S,7,,,1.75,,1,,9.75,11:30:00,"grading, comptext, advice for xxxx, muslim int.",,70,
12/9/2013,M,10.9,0.25,,2.6,,0.5,0.5,14.75,1:30:00,"muslim int, teaching. satt mahal, cos talk",175,20,
12/10/2013,T,7.75,0.35,,1.25,,1.7,1.25,12.3,1:30:00,"cis talk, JFRL, couhes, IR class, gallup data",,110,
12/11/2013,W,4.75,0.35,,2,,1.5,1.5,10.1,9:45:00,"cis talk, teaching, xxxx mit letter",175,40,
12/12/2013,Th,3.5,0.45,,,1.25,7.4,,12.6,9:30:00,"chat w xxxx, cis talk, faculty meeting",175,60,
12/13/2013,F,1.25,0.75,,,,7.6,0.5,10.1,7:30:00,"cis board meeting, conv. w xxxx",,60,
12/14/2013,S,3.75,0.95,,0.5,,0.5,,5.7,11:47:00,"final, egypt, arabic, comptxt",,30,
TOTAL ,,38.9,3.1,0,8.1,1.25,20.2,3.75,75.3,,,,,
,,2.59,0.44,0,0.81,0.16,2.53,1.25,1.34,,,,,
,,,,,,,,,,,,,,
12/1/2013,S,,0.25,,3,,0.75,,4,11:45:00,slides for IR,176,,
12/2/2013,M,1.25,0.5,,4,,5.6,0.5,11.85,11:15:00,ME class blurb,176,,
12/3/2013,T,4,0.15,,2,,1.85,0.25,8.25,11,r code for naive bayes,176,,
12/4/2013,W,3.3,0.25,,3.1,,5.4,0.75,12.8,11:00:00,"ME class blurb, muslim int, drinks with jens",176,,
12/5/2013,Th,6.35,0.25,,0.95,3.5,2.25,,13.3,10:30:00,"ahram, meetings, grad advice, frontier alg.",177,80,
12/6/2013,F,5.25,0.5,,1,,2.25,,9,7:30:00,"slides for xxxx, xxxx letter",,80,
12/7/2013,S,5.25,0.75,,,,0.25,0.25,6.5,10:00:00,comptxt ,,40,
TOTAL ,,25.4,2.65,0,14.05,3.5,18.35,1.75,65.7,,,,,
,,1.69,0.38,0,1.41,0.44,2.29,0.58,1.17,,,,,
,,,,,,,,,,,,,,
11/24/2013,S,0.25,0.25,,,,0.25,,0.75,,,,,
11/25/2013,M,0.5,0.45,,2.25,2.5,8.75,0.25,14.7,1:20:00, isq acceptance ,,,
11/26/2013,T,5,0.8,,,3,3.5,,12.3,11:30:00,"conv. w xxxx, xxxx rec",,,
11/27/2013,W,2.25,0.25,,2.25,,0.25,,5,1:50:00,,,,
11/28/2013,Th,,,,,,,,0,,,,,
11/29/2013,F,1.75,,,,,1.25,,3,8:15:00,,175,,
11/30/2013,S,,,,1.15,,,,1.15,3:00:00,,175,,
TOTAL ,,9.75,1.75,0,5.65,5.5,14,0.25,36.9,,,,,
,,0.65,0.25,0,0.57,0.69,1.75,0.08,0.66,,,,,
,,,,,,,,,,,,,,
11/17/2013,S,1,0.25,,1.1,,,,2.35,9:50:00,,,,
11/18/2013,M,,2.15,2,2,,0.65,,6.8,10:40:00,,,,
11/19/2013,T,7.75,0.4,0.85,0.25,,1.95,0.5,11.7,10:15:00,,,,
11/20/2013,W,7.5,0.5,,2,0.5,3.75,0.35,14.6,11:00:00,arabic ocr test done,,,
11/21/2013,Th,5.5,0.5,,,2.75,1.4,,10.15,10:40:00,IJHR review,,,
11/22/2013,F,0.1,0.25,,5,1.5,5.5,0.25,12.6,11:30:00,"xxxx rec, ir ci-h, me syllabus",,,
11/23/2013,S,,,,0.8,,,,0.8,4:45:00,slides for IR,,,
TOTAL ,,21.85,4.05,2.85,11.15,4.75,13.25,1.1,59,,,,,
,,1.46,0.58,0.57,1.12,0.59,1.66,0.37,1.05,,,,,
,,,,,,,,,,,,,,
11/10/2013,S,4.25,0.1,0.1,,,0.4,,4.85,12:30:00,,,,
11/11/2013,M,4.9,1,,,,2.9,,8.8,11:55:00,,,,
11/12/2013,T,5.2,0.75,,2,4.5,1.65,,14.1,1:00:00,,,,
11/13/2013,W,7,0.5,,2,,2.65,0.75,12.9,11:00:00,,,,
11/14/2013,Th,9.1,,,,1,3.1,1,14.2,1:25:00,,,,
11/15/2013,F,3.9,0.5,,0.75,,4.5,,9.65,10:50:00,,,,
11/16/2013,S,4.5,,,0.6,,0.25,,5.35,12:00:00,,,,
TOTAL ,,38.85,2.85,0.1,5.35,5.5,15.45,1.75,69.85,,,,,
,,2.59,0.41,0.02,0.54,0.69,1.93,0.58,1.25,,,,,
,,,,,,,,,,,,,,
11/3/2013,S,0.25,0.5,0.3,0.55,3.25,1.75,0.25,6.85,11:35:00,,,,
11/4/2013,M,5.5,0.75,,3,1.5,2.3,0.45,13.5,11:30:00,,,,
11/5/2013,T,6.4,0.45,,0.25,1.5,3.25,0.5,12.35,11:40:00,,,,
11/6/2013,W,4.1,,,4.5,,3,0.65,12.25,11:00:00,,,,
11/7/2013,Th,2,0.8,,,1.25,6.3,0.25,10.6,11:15:00,,,jog,
11/8/2013,F,1.25,0.75,,,2,4.5,,8.5,11:40:00,,,jog,
11/9/2013,S,0.75,,,,,1.25,,2,1:00:00,,not much,,
TOTAL ,,20.25,3.25,0.3,8.3,9.5,22.35,2.1,66.05,,,,,
,,1.35,0.46,0.06,0.83,1.19,2.79,0.7,1.18,,,,,
,,,,,,,,,,,,,,
10/27/2013,S,6.75,,,,,0.5,,7.25,4:00:00,,,,
10/28/2013,M,9,,,,,0.5,,9.5,10:00:00,,,,
10/29/2013,T,6.2,0.75,,4,3,1.55,0.45,15.95,1.15,,allnighter,,
10/30/2013,W,9.8,0.25,0.05,2,2.75,1.75,0.25,16.85,7:10:00,,,,
10/31/2013,Th,3.5,1.1,,,,2.35,0.25,7.2,11:00:00,,,jog,
11/1/2013,F,0.75,1.2,,0.5,2.25,2.5,0.25,7.45,6:30:00,,,jog,
11/2/2013,S,,0.25,,,,0.3,,0.55,4:50:00,,,surf,
TOTAL ,,36,3.55,0.05,6.5,8,9.45,1.2,64.75,,,,,
,,2.4,0.51,0.01,0.65,1,1.18,0.4,1.16,,,,,
,,,,,,,,,,,,,,
10/20/2013,S,4.5,0.15,,,,0.5,,5.15,,11:51:00,,,
10/21/2013,M,3.75,0.55,0.35,2.25,,3.3,0.25,10.45,,8:30:00,,,
10/22/2013,T,4.1,1.1,0.15,0.25,1.65,3,1.1,11.35,11:15:00,,9 hours,jog,
10/23/2013,W,8.7,1.15,,0.75,2,3.4,,16,4:00:00,,allnighter ,jog,
10/24/2013,Th,7,0.25,,,1,1.25,0.5,10,11:55:00,,,,
10/25/2013,F,3.35,0.6,,,3.5,1.15,,8.6,11:51:00,,,,
10/26/2013,S,1,,0.35,,,0.8,,2.15,11:00:00,,,,
TOTAL ,,32.4,3.8,0.85,3.25,8.15,13.4,1.85,63.7,,,,,
,,2.16,0.54,0.17,0.33,1.02,1.68,0.62,1.14,,,,,
,,,,,,,,,,,,,,
10/13/2013,S,,0.75,,,,,,0.75,,,,,
10/14/2013,M,2.75,0.85,,,1,1,,5.6,,,,,
10/15/2013,T,0.3,1.7,,4,1.75,3.1,0.95,11.8,,,,jog,
10/16/2013,W,4.65,2,,2.5,1.6,2.5,0.25,13.5,,,,jog,
10/17/2013,Th,2.5,0.5,,,4,2,0.25,9.25,,,,,
10/18/2013,F,8.65,1.5,,,,1,0.25,11.4,,,no,surf,
10/19/2013,S,7.5,0.75,,,,0.25,,8.5,,,,,
TOTAL ,,26.35,8.05,0,6.5,8.35,9.85,1.7,60.8,,,,,
,,1.76,1.15,0,0.65,1.04,1.23,0.57,1.09,,,,,
,,,,,,,,,,,,,,
10/6/2013,S,0.75,,,3,,0.25,,4,,,,,
10/7/2013,M,7.5,0.5,,2.5,1.5,0.5,,12.5,,,,,
10/8/2013,T,2.85,0.5,,1.85,5.1,0.4,,10.7,,,,,
10/9/2013,W,1.25,0.5,,2,1.75,4.3,0.25,10.05,,,,,
10/10/2013,Th,3.5,0.8,,,2.2,4.5,1,12,,,,,
10/11/2013,F,3.75,0.4,,,1.5,2.1,0.5,8.25,,,,,
10/12/2013,S,,,,,4.15,0.35,,4.5,,,,,
TOTAL ,,19.6,2.7,0,9.35,16.2,12.4,1.75,62,,,,,
,,1.31,0.39,0,0.94,2.03,1.55,0.58,1.11,,,,,
,,,,,,,,,,,,,,
9/29/2013,S,,,,2,,0.5,,2.5,,,,,
9/30/2013,M,0.75,0.75,,2.7,,4.5,,8.7,,,,,
10/1/2013,T,0.25,2.75,,3,1.75,1.5,,9.25,,,,,
10/2/2013,W,3,0.5,,2,2.5,1.75,1,10.75,,,,,
10/3/2013,Th,11,0.9,,,0.1,2.65,0.5,15.15,,,,,
10/4/2013,F,7.25,0.55,,,,3,0.5,11.3,,,,,
10/5/2013,S,3.25,,,,,,,3.25,,,,,
TOTAL ,,25.5,5.45,0,9.7,4.35,13.9,2,60.9,,,,,
,,1.7,0.78,0,0.97,0.54,1.74,0.67,1.09,,,,,
,,,,,,,,,,,,,,
9/22/2013,S,,0.25,,1.75,,,,2,,,,,
9/23/2013,M,8.7,2.25,,2,,1,,13.95,,,,,
9/24/2013,T,0.25,2.05,,1,1.75,0.25,0.5,5.8,,,,,
9/25/2013,W,0.75,0.25,0.05,3.85,,3.75,,8.65,,,,,
9/26/2013,Th,0.3,,,,,,,0.3,,,,,
9/27/2013,F,,,,,,,,0,,,,,
9/28/2013,S,,,,,,1.5,,1.5,,,,,
TOTAL ,,10,4.8,0.05,8.6,1.75,6.5,0.5,32.2,,,,,
,,0.67,0.69,0.01,0.86,0.22,0.81,0.17,0.58,,,,,
,,,,,,,,,,,,,,
9/15/2013,S,,,,,,0.5,,0.5,,,,,
9/16/2013,M,2.25,1,0.25,4,3.5,2,,13,,,,,
9/17/2013,T,3.75,1.25,0.1,2.75,2.13,,0.5,10.48,,,,,
9/18/2013,W,3.4,1.4,0.3,2.25,1.3,1.9,0.1,10.65,,,,,
9/19/2013,Th,0.83,1.35,0.7,,2.25,2.25,,7.38,,,,,
9/20/2013,F,1.3,0.7,1,2.2,0.25,3.25,0.5,9.2,,,,,
9/21/2013,S,5,0.3,1,,,,,6.3,,,,,
TOTAL ,,16.53,6,3.35,11.2,9.43,9.9,1.1,57.51,,,,,
,,1.1,0.86,0.67,1.12,1.18,1.24,0.37,1.03,,,,,
,,,,,,,,,,,,,,
9/8/2013,S,,0.13,0.15,2.75,,0.1,,3.13,,,,,
9/9/2013,M,0.75,1,2.25,2.1,3.8,1.7,,11.6,,,,,
9/10/2013,T,2,1.75,0.1,4,1,1.25,,10.1,,,,,
9/11/2013,W,6.5,1,0.25,2.5,,4.05,,14.3,,,,,
9/12/2013,Th,0.5,1.45,0.6,2.85,2.25,2.75,,10.4,,,,,
9/13/2013,F,1.45,1.5,,,,1.2,,4.15,,,,,
9/14/2013,S,,1,,,0.5,,,1.5,,,,,
TOTAL ,,11.2,7.83,3.35,14.2,7.55,11.05,,55.18,,,,,
,,,,,,,,,,,,,,
9/1/2013,S,,,,,,,,,,,,,
9/2/2013,M,,2,,1,0.5,,,3.5,,,,,
9/3/2013,T,0.75,1.7,,1.75,4.25,1.25,,9.7,,,,,
9/4/2013,W,3,1,,2.25,1,3,,10.25,,,,,
9/5/2013,Th,2,1.75,,1.5,1,1.5,,7.75,,,,,
9/6/2013,F,2.5,0.75,,0.35,1.5,2,,7.1,,,,,
9/7/2013,S,1,1.25,,3.2,,,,5.45,,,,,
TOTAL,,9.25,8.45,,10.05,8.25,7.75,,43.75,,,,,
,,,,,,,,,0,,,,,
